id,applicant,pid,status
0,0001000,0,1
1,0001000,1,1
2,0001000,2,1
3,0001000,3,1
4,0001000,4,1
5,0001000,5,1
6,0001000,6,1
7,0001000,7,1
8,0001000,8,1
9,0001000,9,1
10,0001000,10,1
11,0001000,11,1
12,0001000,12,1
13,0001000,13,1
14,0001000,14,1
15,0001000,15,1
16,0001000,16,1
17,0001000,17,1
18,0001000,18,1
19,0001000,19,1
20,0001000,20,1
21,0001000,21,1
22,0001000,22,1
23,0001000,23,1
24,0001000,24,1
25,0001000,25,1
26,0001000,26,1
27,0001000,27,1
28,0001000,28,1
29,0001000,29,1
30,0001000,30,1
31,0001000,31,1
32,0001000,32,1
33,0001000,33,1
34,0001000,34,1
35,0001000,35,1
36,0001000,36,1
37,0001000,37,1
38,0001000,38,1
39,0001000,39,1
40,0101001,40,1
41,0101001,41,1
42,0101001,42,1
43,0101001,43,1
44,0101001,44,1
45,0101001,45,1
46,0101001,46,1
47,0101001,47,1
48,0101001,48,1
49,0101001,49,1
50,0101001,50,1
51,0101001,51,1
52,0101001,52,1
53,0101001,53,1
54,0101001,54,1
55,0101001,55,1
56,0101001,56,1
57,0101001,57,1
58,0101001,58,1
59,0101001,59,1
60,0101001,60,1
61,0101001,61,1
62,0101001,62,1
63,0101001,63,1
64,0101001,64,1
65,0101001,65,1
66,0101001,66,1
67,0101001,67,1
68,0101001,68,1
69,0101001,69,1
70,0101001,70,1
71,0101001,71,1
72,0101001,72,1
73,0101001,73,1
74,0101001,74,1
75,0101001,75,1
76,0101001,76,1
77,0101001,77,1
78,0101001,78,1
79,0101001,79,1
80,0201002,80,1
81,0201002,81,1
82,0201002,82,1
83,0201002,83,1
84,0201002,84,1
85,0201002,85,1
86,0201002,86,1
87,0201002,87,1
88,0201002,88,1
89,0201002,89,1
90,0201002,90,1
91,0201002,91,1
92,0201002,92,1
93,0201002,93,1
94,0201002,94,1
95,0201002,95,1
96,0201002,96,1
97,0201002,97,1
98,0201002,98,1
99,0201002,99,1
100,0201002,100,1
101,0201002,101,1
102,0201002,102,1
103,0201002,103,1
104,0201002,104,1
105,0201002,105,1
106,0201002,106,1
107,0201002,107,1
108,0201002,108,1
109,0201002,109,1
110,0201002,110,1
111,0201002,111,1
112,0201002,112,1
113,0201002,113,1
114,0201002,114,1
115,0201002,115,1
116,0201002,116,1
117,0201002,117,1
118,0201002,118,1
119,0201002,119,1
120,0301003,120,1
121,0301003,121,1
122,0301003,122,1
123,0301003,123,1
124,0301003,124,1
