id,applicant,patent_num,status
0,0001000,1712023756775,1
1,0001000,0038103318225,1
2,0001000,7968948235694,1
3,0001000,7876247272405,1
4,0001000,0309969777535,1
5,0001000,2523899803286,1
6,0001000,9454389092302,1
7,0001000,5908951306439,1
8,0001000,1282922755327,1
9,0001000,1212854762086,1
10,0001000,4746403654208,1
11,0001000,2974141568185,1
12,0001000,3171092495627,1
13,0001000,9178656751619,1
14,0001000,9631300674969,1
15,0001000,1327887810499,1
16,0001000,9498256225786,1
17,0001000,4319564302240,1
18,0001000,1831933798382,1
19,0001000,5889495441575,1
20,0101001,0119054066500,1
21,0101001,1101455132593,1
22,0101001,0718927004990,1
23,0101001,0480045164637,1
24,0101001,9464120162901,1
25,0101001,3953599752419,1
26,0101001,5880498523427,1
27,0101001,5586918083343,1
28,0101001,6165998561340,1
29,0101001,2884470325290,1
30,0101001,6083948097173,1
31,0101001,3314128644156,1
32,0101001,8931856261393,1
33,0101001,1151461645319,1
34,0101001,8344102412195,1
35,0101001,1706498347187,1
36,0101001,1711859140543,1
37,0101001,1752170437433,1
38,0101001,3684856736416,1
39,0101001,5911476208193,1
40,0201002,6095009716449,1
41,0201002,9775552243689,1
42,0201002,0268664875910,1
43,0201002,1128661975031,1
44,0201002,1710173569641,1
45,0201002,7883862770061,1
46,0201002,9332459725882,1
47,0201002,5416661169803,1
48,0201002,6027535533420,1
49,0201002,0070601511659,1
50,0201002,8668401596413,1
51,0201002,4609838817977,1
52,0201002,5428340041341,1
53,0201002,4345497252676,1
54,0201002,3268853203011,1
55,0201002,7493901990809,1
56,0201002,9578747176743,1
57,0201002,3025634102044,1
58,0201002,6924471092903,1
59,0201002,3596330571994,1
60,0301003,4286198247083,1
61,0301003,8057001751689,1
62,0301003,2263317929854,1
63,0301003,9975405684339,1
64,0301003,8102707925544,1
65,0301003,8429678389463,1
66,0301003,8437085881694,1
67,0301003,1311024884662,1
68,0301003,5272586199547,1
69,0301003,1333459799157,1
70,0301003,3549443929622,1
71,0301003,5551742572477,1
72,0301003,1853265785548,1
73,0301003,4229101064226,1
74,0301003,5650859535782,1
75,0301003,9657396617378,1
76,0301003,6266688476039,1
77,0301003,7158172581774,1
78,0301003,8822685648237,1
79,0301003,4088797714294,1
80,0401004,7486460666310,1
81,0401004,2593901713321,1
82,0401004,0075001838538,1
83,0401004,8218972303968,1
84,0401004,0436765485888,1
85,0401004,5542419755961,1
86,0401004,3791348001544,1
87,0401004,0162725864166,1
88,0401004,1203506437596,1
89,0401004,3539375953637,1
90,0401004,9879107735873,1
91,0401004,0476324205975,1
92,0401004,5871681568774,1
93,0401004,5797746711326,1
94,0401004,4571866931397,1
95,0401004,9290288932155,1
96,0401004,8356479722901,1
97,0401004,0789994706437,1
98,0401004,8091751216318,1
99,0401004,6545250822586,1
100,0501005,5433281987559,1
101,0501005,7148532146164,1
102,0501005,3503345419593,1
103,0501005,3278616687596,1
104,0501005,5894518962279,1
105,0501005,8085230816257,1
106,0501005,1457782481029,1
107,0501005,7631128134363,1
108,0501005,6828021521372,1
109,0501005,9520905030823,1
110,0501005,2972751648044,1
111,0501005,8936167266045,1
112,0501005,0333345320947,1
113,0501005,3834560649651,1
114,0501005,0051515623678,1
115,0501005,2812114283456,1
116,0501005,1886116738178,1
117,0501005,8985937596340,1
118,0501005,7274656103990,1
119,0501005,4288464032904,1
120,0001006,5545012890534,1
121,0001006,2349242776076,1
122,0001006,9414806521663,1
123,0001006,7922419484783,1
124,0001006,4452424578012,1
125,0001006,7469069145222,1
126,0001006,6634831085954,1
127,0001006,6957234990894,1
128,0001006,4111019495773,1
129,0001006,3244611969506,1
130,0001006,5002514597449,1
131,0001006,1440197361816,1
132,0001006,1144180580326,1
133,0001006,9177032913064,1
134,0001006,7357901052545,1
135,0001006,0366932845195,1
136,0001006,6534336594737,1
137,0001006,3406364532871,1
138,0001006,2856741690831,1
139,0001006,9363218804587,1
140,0101007,6706984477621,1
141,0101007,2081977065440,1
142,0101007,7476290849874,1
143,0101007,6489894139318,1
144,0101007,7476727320572,1
145,0101007,4795976047908,1
146,0101007,7214973428753,1
147,0101007,9906208674609,1
148,0101007,8133500005103,1
149,0101007,4643530471394,1
150,0101007,2437988442544,1
151,0101007,1091843223575,1
152,0101007,8819840975180,1
153,0101007,5241602766007,1
154,0101007,6852088179118,1
155,0101007,0395262318216,1
156,0101007,2261257681681,1
157,0101007,9350049184928,1
158,0101007,2709551687681,1
159,0101007,2914460031332,1
160,0201008,2199874653795,1
161,0201008,6669606117991,1
162,0201008,1249291271893,1
163,0201008,5084016590702,1
164,0201008,3417662730906,1
165,0201008,9352337605536,1
166,0201008,3868284405490,1
167,0201008,2686402563373,1
168,0201008,7940375857237,1
169,0201008,0770293406281,1
170,0201008,6489600499535,1
171,0201008,2106466619188,1
172,0201008,9199920791573,1
173,0201008,4017113564240,1
174,0201008,1331824156847,1
175,0201008,6954018589713,1
176,0201008,4685423465536,1
177,0201008,4117497178147,1
178,0201008,0689024681033,1
179,0201008,7335335159248,1
180,0301009,9968598517802,1
181,0301009,7893102087250,1
182,0301009,5827384813525,1
183,0301009,1085772101774,1
184,0301009,2675564339146,1
185,0301009,3586317122422,1
186,0301009,5524254036397,1
187,0301009,8517179723330,1
188,0301009,9401597488359,1
189,0301009,4232103189508,1
190,0301009,6591775705466,1
191,0301009,8315714416615,1
192,0301009,6666325121088,1
193,0301009,4934332574047,1
194,0301009,1735707801227,1
195,0301009,6863156485569,1
196,0301009,8677000646361,1
197,0301009,3408629945655,1
198,0301009,0252725761312,1
199,0301009,0216962409986,1
200,0401010,3195364062091,1
201,0401010,5208325453475,1
202,0401010,2951179246848,1
203,0401010,1853027692504,1
204,0401010,0201285870200,1
205,0401010,1243476519136,1
206,0401010,8191685804819,1
207,0401010,9726070296556,1
208,0401010,7946794302261,1
209,0401010,5688668337822,1
210,0401010,4186992683710,1
211,0401010,7587105805208,1
212,0401010,4291643285481,1
213,0401010,2275175955207,1
214,0401010,1113888713541,1
215,0401010,7698056343075,1
216,0401010,7867723072661,1
217,0401010,9857903788182,1
218,0401010,6135889660282,1
219,0401010,2887571764781,1
220,0501011,7624137096311,1
